target_wp_x,target_wp_y,pos_x,pos_y,yaw_sin,yaw_cos,velocity,perp_error,heading_error,passed,steer_angle,throttle,reward,reward_total,plan_x1,plan_y1,plan_x2,plan_y2,plan_x3,plan_y3
1.8677579,-4.2048287e-05,-1.9893274,-1.6881914,0.6326357,0.7744495,7.6716824,0.0,-2.2512708e-05,0.0,-9.299010033375524e-05,0.03753924265146255,0.0,0.0,0.8749998976929676,-1.9658220666018966e-05,1.7499998877075136,-3.939185738388584e-05,2.622991131890447,-0.09167135001891125
1.8525898,-1.5369906e-05,-1.9775862,-1.6785885,0.63262075,0.77446175,7.9072824,0.0,-8.296443e-06,0.0,-8.392410868594099e-05,0.013984806244373323,0.0,0.0,0.8749999266481334,-7.288758138657148e-06,1.74999992871054,-1.4485193246094319e-05,2.6094092800739466,-0.10671540830236026
1.8374187,3.655255e-05,-1.9658283,-1.6690012,0.6326045,0.77447504,7.9756966,0.0,1.9893425e-05,0.0,-6.955711055775369e-05,0.007144843323230744,0.0,0.0,0.874999971801081,1.739040813653059e-05,1.749999943602162,3.478081627306118e-05,2.5958369638681233,-0.12173452076889713
1.822306,5.616681e-05,-1.9541157,-1.6594509,0.6326016,0.77447736,7.6499705,0.0,3.0821833e-05,0.0,-5.441181312970564e-05,0.03973844831705094,0.0,0.0,0.8749999245765261,2.695503450267367e-05,1.7500000168899388,5.3926981907981286e-05,2.582332255405328,-0.13673900433200092
1.8071547,3.6772362e-05,-1.9423765,-1.6498721,0.63261324,0.7744679,7.85292,0.0,2.034821e-05,0.0,-4.341412161545738e-05,0.019452320721149444,0.0,0.0,0.875000039154711,1.7750246676329073e-05,1.7499999859856574,3.5575906728313456e-05,2.568807270130644,-0.15183336799784475
1.7920423,8.750161e-06,-1.9306778,-1.6403052,0.6326217,0.774461,7.9921827,0.0,4.8827874e-06,0.0,-3.7203642384753236e-05,0.005526522133350372,0.0,0.0,0.8750000173040606,4.230155779050282e-06,1.7500000346081213,8.460311558100564e-06,2.555331949337801,-0.16689291829556518
1.7769694,2.3542838e-05,-1.9190106,-1.6307623,0.63261104,0.7744697,7.641423,0.0,1.324887e-05,0.0,-2.9834057251818997e-05,0.040623987362384796,0.0,0.0,0.8749998951320594,1.1600406675582597e-05,1.7499999580012107,2.321772422031465e-05,2.5419120193933673,-0.18184975931680802
1.7618371,3.4535733e-05,-1.9072989,-1.6211799,0.6326008,0.7744781,7.6060696,0.0,1.9602114e-05,0.0,-2.1896396583430858e-05,0.04418298924684525,0.0,0.0,0.8750000005625743,1.7087981586061396e-05,1.7500000765370385,3.4268288150340886e-05,2.5284662929159825,-0.1968670319985648
1.7467448,6.379591e-05,-1.8955972,-1.6116483,0.6325969,0.77448124,7.8673587,0.0,3.6522742e-05,0.0,-1.1070506952090511e-05,0.01806203575372696,0.0,0.0,0.8750000505478883,3.191289226145422e-05,1.7500001010957766,6.382578452290844e-05,2.515072676604137,-0.2118304302870755
1.7315897,4.7893172e-05,-1.8838499,-1.6020736,0.6326111,0.7744696,7.7124586,0.0,2.76585e-05,0.0,-3.5205273600445503e-06,0.03356929563760758,0.0,0.0,0.8750000610396808,2.4164755158317952e-05,1.750000063577097,4.806944924962142e-05,2.501637316657081,-0.2269172068073384
1.7164474,6.0735e-05,-1.872129,-1.5924866,0.6326008,0.7744781,7.614139,0.0,3.538413e-05,0.0,4.88630306339775e-06,0.04342440034151078,0.0,0.0,0.8750000479092246,3.090278294459736e-05,1.7499997201030777,0.00013106955532982134,2.488246532501441,-0.24193499277252362
1.7013158,7.181597e-05,-1.8604175,-1.582905,0.63259023,0.77448666,8.151956,0.0,4.2212017e-05,0.0,1.3846393278567006e-05,-0.010366369445323945,0.0,0.0,0.8749999685001704,3.6846466645035214e-05,1.749999359660425,0.00026256305987171213,2.4748941681886207,-0.2569406966960579
1.6862013,0.00011205648,-1.848696,-1.5733628,0.6325831,0.7744925,7.815179,0.0,6.645498e-05,0.0,2.7228412889466104e-05,0.02332239316225052,0.0,0.0,0.8750000828184954,5.8119249495502956e-05,1.749998283161708,0.0004776392022792786,2.4615781878589607,-0.2719005389012492
1.6711029,0.00013653719,-1.8369892,-1.563828,0.6325814,0.7744939,7.657785,0.0,8.1704835e-05,0.0,4.248075086695982e-05,0.03908231930017471,0.0,0.0,0.8749999387345648,7.151069756411443e-05,1.74999605494656,0.000753815545519787,2.448297380828693,-0.28686302511239514
1.6560459,0.0001505374,-1.8253292,-1.5543013,0.63257366,0.7745002,8.120138,0.0,9.090171e-05,0.0,5.801610673777191e-05,-0.007160211942195894,0.0,0.0,0.8750000056541007,7.956182500562514e-05,1.7499932030180068,0.0010657185594461493,2.4350945913688893,-0.3017840874332469
