radius_m,mu,g_mps2,safety_margin,vmax_mps,vmax_kph,curvature_1pm
563.9155445560118,0.45555555555555555,9.80665,0.9,45.17316854486143,162.62340676150117,0.0017733151881587713
612.0049205817791,0.45555555555555555,9.80665,0.9,47.05989759957196,169.41563135845905,0.001633973790683559
664.1952441853756,0.45555555555555555,9.80665,0.9,49.02542888668186,176.4915439920547,0.0015055813915477267
720.8362344196568,0.45555555555555555,9.80665,0.9,51.07305370645262,183.86299334322942,0.0013872776537171404
782.3074335462875,0.45555555555555555,9.80665,0.9,53.20620082552308,191.54232297188307,0.001278269842671554
849.0207502880353,0.45555555555555555,9.80665,0.9,55.428442218410645,199.54239198627832,0.001177827514416749
921.42321996357,0.45555555555555555,9.80665,0.9,57.743499048815615,207.87659657573622,0.0010852776208955714
1000.0,0.45555555555555555,9.80665,0.9,60.155247900744286,216.55889244267942,0.001
8.0,0.5333333333333333,9.80665,0.9,5.821664916499403,20.95799369939785,0.125
8.682220967164563,0.5333333333333333,9.80665,0.9,6.064815988221108,21.83333755759599,0.11517790249544636
9.422620115333999,0.5333333333333333,9.80665,0.9,6.318122650229682,22.745241540826857,0.10612759378600434
10.22615874137243,0.5333333333333333,9.80665,0.9,6.582009066866023,23.695232640717684,0.09778842919328595
11.098221229737115,0.5333333333333333,9.80665,0.9,6.856917118367688,24.68490162612368,0.09010452930245716
12.044651132381807,0.5333333333333333,9.80665,0.9,7.143307140801432,25.715905706885156,0.083024405523172
13.07179032546847,0.5333333333333333,9.80665,0.9,7.4416586969001965,26.78997130884071,0.07650061507272239
14.18652150527016,0.5333333333333333,9.80665,0.9,7.75247137909532,27.908896964743153,0.07048944306950151
15.396314308023445,0.5333333333333333,9.80665,0.9,8.076265646088677,29.07455632591924,0.06495060960653891
16.70927536277212,0.5333333333333333,9.80665,0.9,8.413583694365572,30.28890129971606,0.05984699984225389
18.134202612598305,0.5333333333333333,9.80665,0.9,8.76499036610775,31.5539653179879,0.055144415299808874
19.68064426823892,0.5333333333333333,9.80665,0.9,9.131074095026834,32.87186674209661,0.050811344708558304
21.35896278912639,0.5333333333333333,9.80665,0.9,9.512447891702015,34.24481241012725,0.046818752852038716
23.180404320580113,0.5333333333333333,9.80665,0.9,9.9097503700719,35.67510133225884,0.043139886007604114
25.157174052436584,0.5333333333333333,9.80665,0.9,10.323646816799446,37.16512854047801,0.039750092673987984
27.302518004084163,0.5333333333333333,9.80665,0.9,10.754830305300631,38.717389099082276,0.03662665838551634
29.630811783930948,0.5333333333333333,9.80665,0.9,11.204022856302238,40.33448228268806,0.033748653506088175
32.15765691806901,0.5333333333333333,9.80665,0.9,11.67197664687225,42.019115928740106,0.031096792983014623
34.899985393617925,0.5333333333333333,9.80665,0.9,12.159475269947288,43.77411097181024,0.0286533071209499
37.87617311727583,0.5333333333333333,9.80665,0.9,12.667335046466176,45.60240616727823,0.02640182250999076
41.106163049345874,0.5333333333333333,9.80665,0.9,13.196406392306917,47.507063012304904,0.024327252310062372
44.61159883833952,0.5333333333333333,9.80665,0.9,13.747575242315897,49.49127087233723,0.02241569515640388
48.415969851620716,0.5333333333333333,9.80665,0.9,14.321764533813955,51.55835232173024,0.020654342008735473
52.54476857391859,0.5333333333333333,9.80665,0.9,14.91993575206344,53.711768707428384,0.01903139031991789
57.02566142841072,0.5333333333333333,9.80665,0.9,15.543090540284169,55.955125945023006,0.017535964948962268
61.88867416502191,0.5333333333333333,9.80665,0.9,16.192272376914183,58.29218055689106,0.01615804528844112
67.16639305819612,0.5333333333333333,9.80665,0.9,16.868568322924048,60.726845962526575,0.014888398117992625
72.89418326233583,0.5333333333333333,9.80665,0.9,17.573110842110484,63.26319903159774,0.013718515733980334
79.11042578807361,0.5333333333333333,9.80665,0.9,18.307079697417404,65.90548691070265,0.012640558940725057
85.8567746873161,0.5333333333333333,9.80665,0.9,19.07170392645983,68.65813413525538,0.011647304521302186
93.17843617041748,0.5333333333333333,9.80665,0.9,19.868263899558762,71.52575003841154,0.010732096835914515
101.12447152580039,0.5333333333333333,9.80665,0.9,20.698093463733027,74.5131364694389,0.009888803223509207
109.7481258718426,0.5333333333333333,9.80665,0.9,21.562582176238482,77.62529583445854,0.009111772907791985
119.10718494394104,0.5333333333333333,9.80665,0.9,22.463177631394355,80.86743947301969,0.008395799132274511
129.2643623075289,0.5333333333333333,9.80665,0.9,23.40138788459333,84.244996384536,0.007736084270627743
140.28771959169813,0.5333333333333333,9.80665,0.9,24.37878397755426,87.76362231919533,0.007128207678551341
152.25112255934317,0.5333333333333333,9.80665,0.9,25.397002569045895,91.42920924856523,0.006568096071739821
165.2347360698837,0.5333333333333333,9.80665,0.9,26.457748675487135,95.24789523175369,0.006051996231452594
179.32556125123102,0.5333333333333333,9.80665,0.9,27.562798526012816,99.22607469364614,0.00557644985479244
194.61801848049907,0.5333333333333333,9.80665,0.9,28.71400253678563,103.37040913242828,0.005138270381168232
211.21458007992592,0.5333333333333333,9.80665,0.9,29.91328840953512,107.68783827432644,0.004734521639659483
229.22645696759918,0.5333333333333333,9.80665,0.9,31.162664359512082,112.1855916942435,0.004362498174202241
248.7743438641171,0.5333333333333333,9.80665,0.9,32.464222478263345,116.87120092174804,0.0040197071147586244
269.98922804870523,0.5333333333333333,9.80665,0.9,33.82014223685845,121.75251205269043,0.0037038514729913707
293.0132670841307,0.5333333333333333,9.80665,0.9,35.23269413543414,126.8376988875629,0.0034128147505105206
318.000741391904,0.5333333333333333,9.80665,0.9,36.70424350516757,132.13527661860326,0.0031446467565545717
345.1190880608327,0.5333333333333333,9.80665,0.9,38.237254469045276,137.654116088563,0.002897550540072516
374.5500228163097,0.5333333333333333,9.80665,0.9,39.83429406805995,143.4034586450158,0.002669870348640799
406.4907576684666,0.5333333333333333,9.80665,0.9,41.498036559744,149.3929316150784,0.0024600805335298643
441.15532239847073,0.5333333333333333,9.80665,0.9,43.23126789623862,155.63256442645903,0.0022667753265747893
478.7759987380311,0.5333333333333333,9.80665,0.9,45.03689038939637,162.13280540182694,0.0020886594203465155
519.604876852311,0.5333333333333333,9.80665,0.9,46.91792757072893,168.90453925462415,0.0019245392885029315
563.9155445560118,0.5333333333333333,9.80665,0.9,48.87752925433867,175.9591053156192,0.0017733151881587713
612.0049205817791,0.5333333333333333,9.80665,0.9,50.918976811311396,183.30831652072104,0.001633973790683559
664.1952441853756,0.5333333333333333,9.80665,0.9,53.045688664402334,190.9644791918484,0.0015055813915477267
720.8362344196568,0.5333333333333333,9.80665,0.9,55.26122601221674,198.94041364398026,0.0013872776537171404
782.3074335462875,0.5333333333333333,9.80665,0.9,57.56929879246971,207.24947565289096,0.001278269842671554
849.0207502880353,0.5333333333333333,9.80665,0.9,59.97377189431105,215.90557881951977,0.001177827514416749
921.42321996357,0.5333333333333333,9.80665,0.9,62.47867163011776,224.92321786842393,0.0010852776208955714
1000.0,0.5333333333333333,9.80665,0.9,65.0881924775915,234.31749291932942,0.001
8.0,0.6111111111111112,9.80665,0.9,6.231719987290829,22.434191954246984,0.125
8.682220967164563,0.6111111111111112,9.80665,0.9,6.491997659625577,23.371191574652077,0.11517790249544636
